DATE,TMAX,TMIN
1/1/2001,24,5
1/2/2001,19,5
1/3/2001,28,7
1/4/2001,30,19
1/5/2001,36,21
1/6/2001,33,17
1/7/2001,34,21
1/8/2001,26,12
1/9/2001,23,10
1/10/2001,34,18
1/11/2001,39,18
1/12/2001,37,23
1/13/2001,36,32
1/14/2001,36,32
1/15/2001,35,31
1/16/2001,31,26
1/17/2001,26,19
1/18/2001,31,19
1/19/2001,27,17
1/20/2001,24,11
1/21/2001,25,9
1/22/2001,29,6
1/23/2001,35,21
1/24/2001,28,16
1/25/2001,25,13
1/26/2001,31,21
1/27/2001,26,15
1/28/2001,29,14
1/29/2001,42,29
1/30/2001,40,32
1/31/2001,35,27
2/1/2001,32,4
2/2/2001,12,-2
2/3/2001,30,10
2/4/2001,34,26
2/5/2001,32,26
2/6/2001,36,20
2/7/2001,35,17
2/8/2001,53,34
2/9/2001,54,20
2/10/2001,20,12
2/11/2001,27,10
2/12/2001,38,20
2/13/2001,38,31
2/14/2001,37,28
2/15/2001,32,26
2/16/2001,31,14
2/17/2001,19,6
2/18/2001,28,7
2/19/2001,42,28
2/20/2001,36,18
2/21/2001,21,9
2/22/2001,27,19
2/23/2001,30,18
2/24/2001,56,30
2/25/2001,55,28
2/26/2001,40,22
2/27/2001,29,17
2/28/2001,28,11
3/1/2001,42,20
3/2/2001,42,28
3/3/2001,49,22
3/4/2001,35,24
3/5/2001,28,18
3/6/2001,34,21
3/7/2001,44,22
3/8/2001,35,27
3/9/2001,38,23
3/10/2001,50,18
3/11/2001,38,28
3/12/2001,49,30
3/13/2001,42,31
3/14/2001,50,25
3/15/2001,45,33
3/16/2001,34,30
3/17/2001,38,26
3/18/2001,44,20
3/19/2001,46,25
3/20/2001,48,27
3/21/2001,52,29
3/22/2001,56,28
3/23/2001,50,34
3/24/2001,36,21
3/25/2001,25,19
3/26/2001,33,16
3/27/2001,39,24
3/28/2001,49,22
3/29/2001,46,35
3/30/2001,51,32
3/31/2001,56,35
4/1/2001,49,30
4/2/2001,60,30
4/3/2001,46,35
4/4/2001,52,31
4/5/2001,60,36
4/6/2001,62,44
4/7/2001,83,44
4/8/2001,77,45
4/9/2001,59,44
4/10/2001,51,43
4/11/2001,77,51
4/12/2001,66,47
4/13/2001,59,37
4/14/2001,65,38
4/15/2001,54,43
4/16/2001,42,29
